Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2025-II,Medicina I,16,"Paciente varón de 70 años, es traído al centro de salud por presentar disnea y alza térmica desde hace 2 días; refiere hospitalización previa por IRA hace 7 días en otro establecimiento. Examen: FC: 110 X', FR: 30 X', T°: 38.5 °C, PA: 120/70 mmHg, SatO2: 80%; luce decaído y agitado; presenta crepitantes húmedos en la base derecha. Se le coloca una cánula binasal a 4 litros por minuto y la SatO2 sube a 84% y se agregan tirajes respiratorios. ¿Cuál es la conducta a seguir en este caso?",Observación y monitoreo cercano,Referir al paciente a un centro de mayor nivel,Tomar exámenes de laboratorio,Colocar una máscara de venturi,B,Referir al paciente a un centro de mayor nivel
2025-II,Medicina I,17,"Como médico serumista atiende a una paciente mujer de 40 años, quien refiere que desde hace un mes, la mayor parte del tiempo presenta: anhedonia, fatigabilidad, insomnio, baja autoestima y no desea ir a trabajar. Refiere haber tenido un cuadro similar en su adolescencia. ¿Cuál es su diagnóstico más probable?",Trastorno bipolar,Trastorno de somatización,Episodio depresivo,Trastorno adaptativo,C,Episodio depresivo
2025-II,Medicina I,18,"En la comunidad Aymara donde estás como serumista, presentas dificultades para comunicarte con los pacientes; la acción de buscar un traductor para facilitar la atención médica. ¿Qué principio intercultural se cumple en este caso?",Diversidad cultural,Equidad,Promoción de la inclusión,Creatividad cultural,A,Diversidad cultural
2025-II,Medicina I,19,"En el establecimiento de salud I-1 se programó una visita de salud familiar por el equipo multidisciplinario a fin de desarrollar intervenciones de promoción y prevención en la familia de una gestante de 42 años, G5P4004; EG: 36 semanas; identificándose riesgos. ¿Qué instrumento es el adecuado a utilizar para este fin?",Historia clínica,ECOMAPA,Familiograma,Ficha familiar,D,Ficha familiar
2025-II,Medicina I,20,"Es un instrumento de gestión, que comprende la programación de las actividades operativas e inversiones de todas las dependencias del Ministerio, con sus respectivas metas físicas y financieras que esperan alcanzar en el año fiscal, las cuales deben estar alineadas con los objetivos y acciones estratégicas institucionales del Plan Estratégico Institucional (PEI) y permiten al Ministerio el ejercicio de sus competencias y su rol rector.",ROF,MOP,ASIS,POI,D,POI
2025-II,Medicina I,21,¿Cuál es el ámbito donde se desarrollan procesos de integración de la información de vigilancia de las situaciones de salud en periodos normales y de emergencia para la toma decisiones en salud pública?,Sala de situación de salud,Comité de inteligencia sanitaria,Análisis de situación de salud,Vigilancia epidemiológica,A,Sala de situación de salud
2025-II,Medicina I,22,"Paciente de 45 años viene a la consulta en centro de salud de Huamanga- Ayacucho por presentar ictericia, fiebre y decaimiento. Señala que tiene resultado de HBSAg reactivo hace un año, señala que viene de Huamanguilla a 3 horas de camino y que varios vecinos con ictericia leve y síntomas parecidos. Ante la sospecha de un brote. ¿Cuál es la primera etapa de la investigación epidemiológíca a realizar?",Identificación de los casos,Hacer vigilancia epidemiológica,Intervención del brote,Investigación preliminar,D,Investigación preliminar
2025-II,Medicina I,23,¿Qué actividades de vigilancia entomológica realizarías en tu comunidad asignada conociendo que no existe el vector ni casos pero tiene las condiciones ambientales para la infestación?,A través de las inspecciones de las viviendas de acuerdo del tipo del muestreo aleatorio sistemático,Post control por muestreo aleatorio sistemático dependiendo el tipo de larvicida en uso,Semanales en un punto crítico con ovitrampas,Quincenales con ovitrampa en localidades seleccionadas con bajos niveles de infestación,C,Semanales en un punto crítico con ovitrampas
2025-II,Medicina I,24,En su condición de médico jefe de establecimiento de salud del primer nivel de atención recibe la solicitud formal del ministerio público para la entrega de una copia de la historia clínica de un paciente atendido. ¿Cuál es el plazo máximo que tiene usted para hacer entrega de lo solicitado?,3 días,10 días,7 días,5 días,D,5 días
2025-II,Medicina I,25,"Como médico serumista jefe del establecimiento de primer nivel de atención (I-2), le informan sobre una señora de 80 años que vive en la comunidad, que tiene demencia en fase avanzada y dismovilidad crónica severa, desde hace 1 semana presenta tos y mayor somnolencia ¿Cuál es la medida a tomar dentro del paquete del cuidado integral de salud del adulto mayor?",Referir a un nivel de salud superior para ser evaluada,Ordenar su ingreso hospitalario por el área de emergencia,Programar con el equipo de salud una atención domiciliaria,Brindar una evaluación integral inmediata en el establecimiento,C,Programar con el equipo de salud una atención domiciliaria
2025-II,Medicina I,26,"Se le encarga implementar los servicios de salud con pertinencia cultural, en ese contexto. ¿Qué líneas de acción debe considerar?",Infraestructura adecuada,Recursos humanos especializados,Inclusión social,Revaloración del sistema de salud tradicional,D,Revaloración del sistema de salud tradicional
2025-II,Medicina I,27,"Como médico serumista ha observado varios casos de violencia familiar, por tal motivo decide investigar el tema y para ello visita los hogares de los casos detectados y entrevista a los afectados y a sus familiares luego analiza la información obtenida y plantea explicaciones del problema. ¿Cuál es el enfoque de investigación usado?",Cuantitativo,Cualitativo,Científico,Mixto,B,Cualitativo
2025-II,Medicina I,28,"Una localidad de su establecimiento de salud frente a riesgo de brote de dengue se reúne con alcalde y presidente de la comunidad, para evaluar factores condicionantes; toman decisiones y logran acuerdos para reducir y eliminar dicho factor con el fin de evitar brote. ¿Qué tipo de acción se ha realizado?",Multidisciplinaria,Transdisciplinaria,Intersectorial,Promocional,C,Intersectorial
2025-II,Medicina I,29,"En el marco del ciclo de planeamiento estratégico la fase ...... es la encargada del diseño de objetivos y acciones estratégicas sectoriales en consistencia, alineamiento y coherencia con la definición de objetivos.",2,4,3,1,C,3
2025-II,Medicina I,30,"Paciente que acude a su área de salud con lesiones en piel, secreción verde grisácea después de estar hospitalizado 21 días, en el examen físico debes usar las medidas de protección adecuadas, lentes protectores, mascarillas, batas y guantes para evitar o disminuir tanto el riesgo de contaminación del paciente como del operador. ¿Qué tipo de guantes debes usar?",Amianto,Caucho natural,Algodón,Látex,D,Látex
2025-II,Medicina I,31,"Mujer de 45 años que acude al centro de salud de Jesús María con vida sedentaria y con malos hábitos dietéticos. Examen: sobre peso, FC: 89 X', FR: 18 X', PA: 130/95 mmHg; IMC: 26.2, perímetro abdominal: 108 cm. ¿Qué medidas de prevención debes tomar?",Tratamiento con antihipertensivos,"Charlas educativas sobre modo, condiciones, estilo de vida y trabajo con factores de riesgo modificables",Trabajar con factores de riego no modificables,Consulta a cardiología para consejería nutricional,B,"Charlas educativas sobre modo, condiciones, estilo de vida y trabajo con factores de riesgo modificables"
2025-II,Medicina I,32,El proceso que conduce a la clasificación de los establecimientos de salud según sus niveles de complejidad y características funcionales se denomina:,Categoría,Acreditación,Habilitación,Categorización,D,Categorización
2025-II,Medicina I,33,En la atención de un paciente varón de 50 años con diabetes mellitus tipo 2 usted le explica que el perímetro de cintura refleja la presencia de obesidad abdominal e indirectamente el nivel de riesgo cardiovascular. En varones con diabetes. ¿Cuál es el valor límite en cm del perímetro de cintura?,78,87,99,93,D,93
2025-II,Medicina I,34,"En su establecimiento de salud, se vienen realizando de forma intensiva actividades de promoción de conductas sexuales saludables en los jóvenes de su comunidad, observándose gran participación tanto de hombres como mujeres. ¿Qué enfoque transversal de promoción de la salud se ha logrado en esta comunidad?",Equidad de género,Interculturidad,Accesibilidad,Derecho a la salud,A,Equidad de género
2025-II,Medicina I,35,"En una comunidad en la selva han aparecido nuevos casos de malaria por Plasmodium vívax. La aparición de un nuevo caso depende de las características biológicas del ......, del ...... y ambiente que facilitan la aparición del mosquito Anopheles.",vector / agente,equilibrio ecológico / huésped,agente / vector,parásito / huésped,D,parásito / huésped
2025-II,Medicina I,36,"Usted se encuentra en Belempampa- Cusco donde acude un escolar de 7 años con su mamá por presentar herida en antebrazo derecho de 2 cm, usted indica sutura y su mamá se niega indicando que se le recomiende una planta de la zona. ¿Qué alternativa indicas?",Toronjil,Ruda,Orégano,Matico,D,Matico
2025-II,Medicina I,37,Como médico serumista y jefe de establecimiento de salud usted propone a la jefa del comedor popular una serie de charlas y talleres para las madres en el tema: cocinas libre de humo. ¿Qué programa de intervención en promoción de la salud está implementando?,Familias saludables,Viviendas saludables,Comedores saludables,Programa libre de cáncer,B,Viviendas saludables
2025-II,Medicina I,38,A Ud. le han asignado para trabajar un EESS de salud Nivel I en Amazonas y le informan que en su jurisdicción hay pacientes con fiebre e ictericia; también le dicen que hay muchos poblados que están muy alejados y que no les gusta ir al centro de salud. ¿Qué acciones inicialmente debe tomar cuando llegue al EESS?,Identificar las causas de morbimortalidad de la población atendida y diagnosticar la situación de salud de la comunidad,La información obtenida de la comunidad debe estar orientada a apoyar el proceso de toma de decisiones,El serumista y su equipo deben participar en las etapas de los procesos de planeación y programación,Desarrollar diferentes actividades que se llevan a cabo en el centro de salud,A,Identificar las causas de morbimortalidad de la población atendida y diagnosticar la situación de salud de la comunidad
2025-II,Medicina I,39,"Como médico serumista, jefe de establecimiento de salud, debe participar en el fortalecimiento de la dimensión de prestación del modelo de redes integradas de salud. ¿Qué atributo debe fortalecer en esta dimensión?",Participación ciudadana,Primer nivel como puerta de entrada,Financiamiento alineado a objetivos,Gestión de recursos humanos,B,Primer nivel como puerta de entrada
2025-II,Medicina I,40,"En la atención de un paciente de 80 años con cáncer de próstata confirmado, luego de informarle claramente los beneficios y riesgos del tratamiento quirúrgico y quimioterapia propuestos en junta médica el paciente en pleno uso de su capacidad de toma de decisiones, decide no aceptar dichos tratamientos. En este caso usted respeta y acepta la decisión informada del paciente. ¿Qué principio ético está cumpliendo en este acto médico?",Autonomía,No maleficiencia,Beneficiencia,Justicia,A,Autonomía
2025-II,Medicina I,41,"Usted es médico serumista encargado del sistema de vigilancia epidemiológica de su establecimiento de salud. De acuerdo a la directiva sanitaria para la vigilancia epidemiológica de enfermedades zoonóticas, accidentes por animales ponzoñosos y epizootias ¿Cuál es la periodicidad de notificación que debe cumplir para un caso de loxoscelismo probable?",7 días,De inmediato,5 días,10 días,A,7 días
2025-II,Medicina I,42,Al llegar al establecimiento de salud asignado como médico serumista encuentra que se brinda servicios solamente en la UPSS (Unidad Productora de Servicios de Salud) consulta externa por profesional médico y la UPSS patología clínica. ¿Cuál es la categoría de este establecimiento?,II-2,I-3,II-1,I-2,B,I-3
